NCT Number,Title,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Primary Completion Date,Completion Date,allocation,intervention_model,observational_model,time_perspective,masking,primary_purpose,country,Start_Month,Start Year,Is_Country_Unknown,Study_Duration_Days
NCT04475484,Online Survey on Psychological Impact of COVID-19 Epidemic on School-age Children,Recruiting,No Results Available,Investigating Psychological Impact|Confinement Measures|Coronavirus Outbreak|School-age Children,Other: Online questionnaire,Proportion of children presenting signs of psychological suffering during confinement.,Hospices Civils de Lyon,All,"6 Years to 18 Years   (Child, Adult)",N/A,30000,Other,Observational,2020-06-10,2020-12-31,2020-12-31,N/A,N/A,Ecologic or Community,Cross-Sectional,N/A,N/A,France,2020-06,2020,False,204
NCT04447209,Dietary Diversity of Young Children During CoVID-19 Outbreak: A Longitudinal Study,Recruiting,No Results Available,Dietary Diversity,"Other: Dietary counselling on Food Groups according to IYC Feeding practices, WHO",Minimal Dietary Diversity (MDD) of more than 5 food groups in 24 hours|Height|Weight|Meal frequencies in past 24 hours|Blood hemoglobin in children at the start of study and 4 months later|Serum ferritin in children at the start of study and 4 months later|Consumption of sugar and processed foods|Food Aids received,University of Malaya,All,6 Months to 6 Years   (Child),N/A,300,Other,Observational,2020-06-06,2020-12-31,2021-05-31,N/A,N/A,Cohort,Prospective,N/A,N/A,Malaysia,2020-06,2020,False,359
NCT04839146,Safety and Tolerability of ABNCoV2,Recruiting,No Results Available,Covid19|Severe Acute Respiratory Syndrome|SARS-CoV-2 Infection,Biological: ABNCoV2 Vaccine,Primary safety endpoint: Number of at least possibly related Grade 3 adverse events (AE) and serious adverse events (SAE)|Primary immunogenicity endpoint: Concentration of ABNCoV2-specific antibodies|Secondary study endpoint: Number and severity of at least possibly related solicited AEs,Radboud University|European Union,All,18 Years to 55 Years   (Adult),Phase 1,42,Other,Interventional,2021-03-11,2021-12-20,2021-12-20,Non-Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Prevention,Netherlands,2021-03,2021,False,284
NCT04260594,Clinical Study of Arbidol Hydrochloride Tablets in the Treatment of Pneumonia Caused by Novel Coronavirus,Not yet recruiting,No Results Available,2019-nCoV,Drug: Arbidol|Other: basic treatment,Virus negative conversion rate in the first week|Virus negative conversion rate|Antipyretic rate|Symptom relief time|Finger oxygen improvement rate|Disease progression rate|Mortality rate|Incidence of severe adverse reactions|Change curve of peripheral blood lymphocyte count,Jieming QU|Ruijin Hospital,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 4,380,Other,Interventional,2020-02-07,2020-07-01,2020-12-30,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,Unknown,2020-02,2020,True,327
NCT04409275,LUNG FIBROTIC CHANGES ASSOCIATED WITH SARS-CoV-2 INFECTION,Recruiting,No Results Available,Pulmonary Fibrosis,N/A,"Pulmonary fibrotic changes, short and medium term|Degree of lung function impairment|Biological markers",Fundación para la Investigación del Hospital Clínico de Valencia,All,"18 Years to 90 Years   (Adult, Older Adult)",N/A,500,Other,Observational,2020-05-21,2020-12-31,2021-07-31,N/A,N/A,Case-Only,Prospective,N/A,N/A,Spain,2020-05,2020,False,436
NCT04362059,A Clinical Trial of Nebulized Surfactant for the Treatment of Moderate to Severe COVID-19,Recruiting,No Results Available,Respiratory Infections,Device: COVSurf Drug Delivery System|Other: Standard of Care,Oxygenation Improvement|Pulmonary ventilation Improvement|Safety Assessment of Frequency and Severity of Adverse Events,"University Hospital Southampton NHS Foundation Trust|Bill and Melinda Gates Foundation|University College, London",All,"18 Years and older   (Adult, Older Adult)",N/A,24,Other,Interventional,2020-06-18,2021-07-27,2021-11-16,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,United Kingdom,2020-06,2020,False,516
NCT04433312,Impact of Cancellation of Non-urgent Surgical Cases on Patients During the COVID-19 Pandemic,Not yet recruiting,No Results Available,"Satisfaction, Patient|Quality of Life",Other: Questionnaire,Quality of Life of the patients,Mansoura University,All,"Child, Adult, Older Adult",N/A,10000,Other,Observational,2020-07-01,2020-10-30,2020-12-01,N/A,N/A,Other,Cross-Sectional,N/A,N/A,Egypt,2020-07,2020,False,153
NCT04360850,Use of Telehealth Technology by Mental Health Care Professionals in Times of COVID-19 Pandemic,Recruiting,No Results Available,Online Therapy,Behavioral: online survey,responses to the survey questions,University of Washington,All,"18 Years and older   (Adult, Older Adult)",N/A,10000,Other,Observational,2020-04-24,2025-10-01,2025-10-01,N/A,N/A,Ecologic or Community,Prospective,N/A,N/A,United States,2020-04,2020,False,1986
NCT04558411,"Pilot Study of a Brief, Scaleable Intervention for Coronavirus (COVID-19) Mental Health Sequelae in College Students",Recruiting,No Results Available,Emotional Regulation|Affect,Behavioral: Dialectical Behavioral Therapy (DBT) Skills,Distress|Emotion regulation|Distress (within-person change)|Maintenance of improvement in emotion regulation,"Rutgers, The State University of New Jersey",All,"18 Years and older   (Adult, Older Adult)",N/A,150,Other,Interventional,2020-09-12,2020-12-15,2020-12-15,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Prevention,United States,2020-09,2020,False,94
NCT04666493,Adapting Anxiety Intervention for Youth With Autism for Rapid Response to COVID-19,Recruiting,No Results Available,Autism Spectrum Disorder,"Other: Cognitive behavior therapy (CBT), specifically using the Facing Your Fears (FYF) curriculum","Screen for Child Anxiety Related Emotional Disorders (SCARED), Parent version|Screen for Child Anxiety Related Emotional Disorders (SCARED), Child version","Evdokia Anagnostou|Anagnostou, Evdokia, M.D.",All,8 Years to 13 Years   (Child),N/A,100,Other,Interventional,2020-12-04,2021-11-30,2021-11-30,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Treatment,Canada,2020-12,2020,False,361
NCT04456062,Using Caring Contacts to Reduce Psychiatric Morbidity Following Hospitalization During the COVID-19 Pandemic,Recruiting,No Results Available,Psychiatric Hospitalization,Other: Caring Contacts,Hopkins Symptom Checklist-25 (HSCL-25),Sunnybrook Health Sciences Centre,All,"18 Years and older   (Adult, Older Adult)",N/A,150,Other,Interventional,2020-08-04,2021-03-01,2021-03-01,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Health Services Research,Canada,2020-08,2020,False,209
NCT04410536,Home Detox in Medication Overuse Headache (MOH) During Covid-19 Emergency,Recruiting,No Results Available,"Migraine, Hemicrania",Drug: Symptomatic drugs|Drug: Bridge therapy|Behavioral: Mindfulness program,Drop out rates|Absence of Medication Overuse Headache (MOH),Fondazione I.R.C.C.S. Istituto Neurologico Carlo Besta,All,"18 Years to 65 Years   (Adult, Older Adult)",N/A,25,Other,Interventional,2020-06-15,2021-12-01,2022-07-01,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Treatment,Italy,2020-06,2020,False,746
NCT04801667,"Evaluate the Impact, Safety, Tolerability and Immunogenicity of the Coronavac Vaccine in Kidney Transplant Recipients",Not yet recruiting,No Results Available,SARS-CoV Infection|Coronavirus Infection|Vaccine Adverse Reaction,Biological: Coronavac,"Evaluate the incidence of hospitalization or death in 28 days associated with COVID-19 (symptomatic cases confirmed virologically by COVID -19 with positive CRP) 14 ± 2 days after the second dose of the vaccine.|Evaluate the impact of the vaccine on the incidence of COVID-19 according to the severity criterion of the World Health Organization.|Evaluate the impact of the vaccine on the incidence of COVID-19 and hospitalization for COVID-19 disease, confirmed by PCR, for a period of 6 months after the final vaccination.|Evaluate the vaccine's safety, tolerability, and reactogenicity profile: occurrence of signs and symptoms of local and systemic reactogenicity requested seven days after vaccination.|Evaluate the incidence of serious adverse events for a period of 6 months after the final vaccination.|Evaluate immunogenicity by detecting antibodies against SARS-CoV-2 for a period of 6 months after the final vaccination.|Analysis of the genetic sequencing of SARS-CoV-2 in patients who test positive for SARS-CoV-2 PCR.",Hospital do Rim e Hipertensão,All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 4,3780,Other,Interventional,2021-03-20,2021-08-01,2022-03-01,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Health Services Research,Unknown,2021-03,2021,True,346
NCT04822285,Effect Psychological Triaging Intervention on Students' Psychological Distress and Resilience Capacity,Completed,No Results Available,Psychological Distress|Resilience,Behavioral: Psychological Triaging Intervention|Behavioral: Routine psychological support,severity of psychological distress,Alexandria University,All,"Child, Adult, Older Adult",N/A,64,Other,Interventional,2020-01-22,2020-04-22,2021-03-21,Randomized,Parallel Assignment,N/A,N/A,Single (Participant),Supportive Care,Egypt,2020-01,2020,False,424
NCT04597216,Exploration of Feasability of Blood and Saliva Proteomic Analysis Through Harvesting by Silica Matrix (NanoDx-CoV-19),Recruiting,No Results Available,Covid19,Device: sample of blood and saliva,Feasibility of proteomic profile|Interest of proteomic profile|Stability of proteomic profile,"University Hospital, Grenoble",All,"18 Years to 99 Years   (Adult, Older Adult)",N/A,200,Other,Interventional,2020-10-15,2020-12-31,2021-12-31,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Diagnostic,France,2020-10,2020,False,442
NCT04436276,A Study of Ad26.COV2.S in Adults (COVID-19),"Active, not recruiting",No Results Available,Healthy,Biological: Ad26.COV2.S|Biological: Placebo,"Cohorts 1, 2, and 3: Number of Participants with Solicited Local Adverse Events (AEs) for 7 Days after First Vaccination|Cohorts 1, 2, and 3: Number of Participants with Solicited Local Adverse Events (AEs) for 7 Days after Second Vaccination|Cohorts 1, 2, and 3: Number of Participants with Solicited Systemic AEs for 7 Days after First Vaccination|Cohorts 1, 2, and 3: Number of Participants with Solicited Systemic AEs for 7 Days after Second Vaccination|Cohorts 1, 2, and 3: Number of Participants with Unsolicited AEs for 28 Days after First Vaccination|Cohorts 1, 2, and 3: Number of Participants with Unsolicited AEs for 28 Days after Second Vaccination|Cohort 1 and 3: Number of Participants with Serious Adverse Events (SAEs) from the First Vaccination until 1 Year after the Second Vaccination|Cohort 2: Number of Participants with SAEs from the First Vaccination until 6 Months after the First Vaccination|Cohorts 1, 2, and 3: Number of Participants With SARS-CoV-2 Neutralizing Antibody Titers as Assessed by Virus Neutralization Assay (VNA)|Cohorts 1, 2, and 3: Number of Participants with SARS-CoV-2 Binding Antibodies Assessed by ELISA|Cohorts 1, 2, and 3: Number of Participants with T-helper (Th)-1 and Th-2 Immune Responses as Assessed by Flow Cytometry",Janssen Vaccines & Prevention B.V.,All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,1085,Industry,Interventional,2020-07-15,2021-12-03,2024-02-02,Randomized,Parallel Assignment,N/A,N/A,"Double (Participant, Investigator)",Other,United States,2020-07,2020,False,1297
NCT04519216,Breastfeeding Education in the Time of COVID-19,Recruiting,No Results Available,"Breastfeeding|Breastfeeding, Exclusive|Breastfeeding Jaundice|Educational Problems",Behavioral: Telesimulation,Change in practice patterns|Self efficacy|Satisfaction with simulation,"University of California, Davis",All,"18 Years and older   (Adult, Older Adult)",N/A,39,Other,Interventional,2020-07-31,2021-06-30,2021-09-30,Randomized,Parallel Assignment,N/A,N/A,Single (Outcomes Assessor),Other,United States,2020-07,2020,False,426
NCT04357106,COPLA Study: Treatment of Severe Forms of COronavirus Infection With Convalescent PLAsma,Recruiting,No Results Available,COVID-19,Biological: Convalescent plasma,Lung injury|Overall survival|Adverse reactions to plasma,Centro de Hematología y Medicina Interna|Laboratorios Clínicos de Puebla (Laboratorios Ruiz),All,"18 Years and older   (Adult, Older Adult)",Phase 2,10,Other,Interventional,2020-04-13,2020-07-01,2020-08-01,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Treatment,Mexico,2020-04,2020,False,110
NCT04691180,"A Phase 1 Study of Human Monoclonal Antibodies, BRII-196 and BRII-198",Recruiting,No Results Available,COVID-19,Drug: BRII-196 and BRII-198|Drug: Placebo,Incidence of adverse events (AEs) by CTCAE v5.0|Proportion of subjects with SAEs|Proportion of subjects with infusion-related reactions|Proportion of subjects with hypersensitivity reactions|Mean of change from pre-dose baseline in ECG readings|Mean of change from pre-dose baseline in WBC count.|Mean of change from pre-dose baseline in RBC count|Mean of change from pre-dose baseline in Platelets count|Mean of change from pre-dose baseline in Hemoglobin result|Serum Concentration of BRII-196 and BRII-198,Brii Biosciences Limited|TSB Therapeutics (Beijing) CO.LTD,All,18 Years to 49 Years   (Adult),Phase 1,24,Industry,Interventional,2021-01-05,2021-08-01,2021-08-01,Randomized,Parallel Assignment,N/A,N/A,Single (Participant),Treatment,China,2021-01,2021,False,208
NCT04409197,"Evaluation of Changes in Weight, Sleep, and Other Psycho-behavioural Parameters During Covid-19 Confinement in Subjects Monitored by the RNPC Network",Completed,No Results Available,Comorbidities|Confinement|Obesity,N/A,"Analyse the variation in weight loss kinetics before, during and after confinement in patients enrolled in a weight reduction programme (RNPC) in France|Define the effects of containment on the variation in the kinetics of anthropometric parameters other than weight|Evolution of blood pressure before versus after confinement|Characterize clusters (homogeneous groups of patients) associated with particular dynamics of weight kinetics during confinement|Evaluate the impact of teleconsultation monitoring during containment on weight loss","University Hospital, Grenoble",All,"18 Years and older   (Adult, Older Adult)",N/A,4789,Other,Observational,2020-05-08,2020-06-08,2020-07-11,N/A,N/A,Cohort,Prospective,N/A,N/A,France,2020-05,2020,False,64
NCT04382378,Effects of NMES in Critically Ill Patients,Recruiting,No Results Available,Mechanical Ventilation Complication|Muscle Weakness Condition|Covid19,Device: neuromuscular electrical stimulation,cross sectional area of rectus femoris|echointensity of rectus femoris|muscle strength|Functional status|ICU acquired weakness,Escola Superior de Ciencias da Saude,All,"18 Years and older   (Adult, Older Adult)",N/A,120,Other,Interventional,2021-02-01,2021-09-30,2021-12-31,Randomized,Parallel Assignment,N/A,N/A,Single (Outcomes Assessor),Treatment,Brazil,2021-02,2021,False,333
NCT04479644,"Safety, Tolerability, and Pharmacokinetics Study of Human Monoclonal Antibody BRII-198",Completed,No Results Available,COVID-19,Drug: BRII-198|Drug: Placebo,Incidence of adverse events (AEs) by CTCAE v5.0|Proportion of subjects with SAEs|Proportion of subjects with infusion-related reactions|Proportion of subjects with hypersensitivity reactions|Serum Concentration of BRII-198,Brii Biosciences Limited|TSB Therapeutics (Beijing) CO.LTD,All,18 Years to 49 Years   (Adult),Phase 1,17,Industry,Interventional,2020-07-13,2021-02-03,2021-02-03,Randomized,Parallel Assignment,N/A,N/A,Single (Participant),Treatment,China,2020-07,2020,False,205
NCT04479631,"Safety, Tolerability, and Pharmacokinetics Study of Human Monoclonal Antibody BRII-196",Completed,No Results Available,COVID-19,Drug: BRII-196|Drug: Placebo,Incidence of adverse events (AEs) by CTCAE v5.0|Proportion of subjects with SAEs|Proportion of subjects with infusion-related reactions|Proportion of subjects with hypersensitivity reactions|Serum Concentration of BRII-196,Brii Biosciences Limited|TSB Therapeutics (Beijing) CO.LTD,All,18 Years to 49 Years   (Adult),Phase 1,16,Industry,Interventional,2020-07-12,2021-01-29,2021-01-29,Randomized,Parallel Assignment,N/A,N/A,Single (Participant),Treatment,China,2020-07,2020,False,201
NCT04786080,Supporting Parents & Kids Through Lockdown Experiences (SPARKLE).,Not yet recruiting,No Results Available,Child Behavior Problem|Mental Health Issue,Behavioral: Parent Positive,"Strengths and Difficulties Questionnaire (SDQ; Goodman, 1997) Conduct Problems|SDQ Conduct Problems|SDQ Emotional Problems|Parental child-related stress and worries levels|Family conflict|Depression, Anxiety and Stress Scale (DASS-21) parental psychological distress",King's College London|University of Oxford,All,"18 Years and older   (Adult, Older Adult)",N/A,616,Other,Interventional,2021-03-15,2021-09-30,2021-11-30,Randomized,Parallel Assignment,N/A,N/A,"Double (Investigator, Outcomes Assessor)",Treatment,United Kingdom,2021-03,2021,False,260
NCT04513561,Evaluation of the Impact of Lock Down and End of Lock Down on the Management of Patients With Inflammatory and Dysimmune Diseases Followed in the Context of IMMINeNT FHU and COVID-19,Completed,No Results Available,Inflammatory Disease|Covid19,N/A,"The answer will be considered positive if the patient answers ""totally agree"", or ""agree"", or ""slightly agree"", or ""neither agree nor disagree"".|Proportion of patients (in percentage and numbers) whose response is considered positive if the patient answered ""Slightly agree"", ""Agree"" or ""Totally agree"" to question 9 of the lock down questionnaire|Proportion of patients (in percentage and numbers) whose response is considered positive if the patient answered ""yes"" to question 34 of the lock down questionnaire|Proportion of patients (in percentage and numbers) whose response is considered positive if the patient answered ""Slightly agree"" or ""Agree"" or ""Strongly agree"" to question 38 of the lock down questionnaire|Proportion of patients (in percentages and numbers) whose response will be considered positive to questions 13 and 14 of the lock down questionnaire and comparison between the different specialities filled in in question 3.|Proportion of patients (in percent and numbers) whose response will be considered positive to questions 9, 13, 14, 38 or ""Yes"" to question 34 of the end of lock down and lock down Evaluation Questionnaire.","University Hospital, Lille",All,"18 Years and older   (Adult, Older Adult)",N/A,921,Other,Observational,2020-07-21,2020-08-27,2020-08-27,N/A,N/A,Cohort,Prospective,N/A,N/A,France,2020-07,2020,False,37
NCT04779450,"Effect of Telemonitoring on Upper Limb Function, Quality of Life and Risk of Lymphedema During and After Pandemic COVID-19 in Women Submitted to Treatment for Breast Cancer",Recruiting,No Results Available,Breast Cancer,Other: Kinesiotherapy protocol|Other: Usual orientations,Upper Limb Functionality|Assessment of quality of life|Arm circumference|Level of satisfaction,University of the State of Santa Catarina,Female,"18 Years and older   (Adult, Older Adult)",N/A,30,Other,Interventional,2021-03-01,2021-08-01,2021-12-01,Randomized,Parallel Assignment,N/A,N/A,"Double (Participant, Investigator)",Treatment,Brazil,2021-03,2021,False,275
NCT04528329,Anosmia and / or Ageusia and Early Corticosteroid Use,Recruiting,No Results Available,Covid19|Anosmia,Drug: Early-Dexamethasone|Drug: Late dexamethazone,Time to recovery,ClinAmygate,All,"18 Years and older   (Adult, Older Adult)",Phase 4,300,Other,Interventional,2020-08-30,2021-04-01,2021-04-15,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,Egypt,2020-08,2020,False,228
NCT04386720,Measurement of Airway Opening Pressure (AOP) in Patients With Acute Respiratory Distress Syndrom and With or Without Covid 19.,Recruiting,No Results Available,Acute Respiratory Distress Syndrome,N/A,Comparison of the PV curves|Comparison of regional AOP|Comparison of the different AOPs with the level of PEEP,"University Hospital, Bordeaux",All,"18 Years and older   (Adult, Older Adult)",N/A,20,Other,Observational,2020-05-25,2021-05-25,2021-05-25,N/A,N/A,Case-Only,Prospective,N/A,N/A,France,2020-05,2020,False,365
NCT04368832,imPROving prenaTal carE During ConfinemenT,"Active, not recruiting",No Results Available,Pregnancy Related|COVID,Other: Remote consultation,Score of perceived quality of prenatal care|Level of stress during pregnancy|level of health and digital literacy|Obstetrical outcomes|Characteristics of medical supervision during pregnancy,"Central Hospital, Nancy, France",Female,"18 Years and older   (Adult, Older Adult)",N/A,108,Other,Observational,2020-04-25,2020-12-31,2021-09-30,N/A,N/A,Other,Prospective,N/A,N/A,France,2020-04,2020,False,523
NCT04728243,WHO QualityRights E-training in Ghana,Not yet recruiting,No Results Available,Knowledge|Attitudes|Practices,Other: WHO QualityRights e-training|Other: WHO COVID-19 online training,Change from Baseline knowledge about human rights of persons with psychosocial disabilities post-training|Change from Baseline attitudes towards persons with psychosocial disabilities role as rights-holders post-training|Change from Baseline Practices related to substitute-decision making and coercion scale at 3 months|Change from Baseline Seclusion and Restraint Experience post-training|Change from Baseline Burnout at 3 months|Change from Baseline Quality of Life at 3 months,Mental Health Society of Ghana,All,"18 Years and older   (Adult, Older Adult)",N/A,216,Other,Interventional,2021-02-01,2022-02-01,2022-02-01,Randomized,Parallel Assignment,N/A,N/A,"Double (Investigator, Outcomes Assessor)",Other,Unknown,2021-02,2021,True,365
NCT04338009,Elimination or Prolongation of ACE Inhibitors and ARB in Coronavirus Disease 2019,Completed,Has Results,COVID-19,Other: Discontinuation of ARB/ACEI|Other: Continuation of ARB/ACEI,"Hierarchical Composite Endpoint|All-Cause Death|Length of Hospital Stay|Length of ICU Stay, Invasive Mechanical Ventilation or Extracorporeal Membrane Oxygenation|AUC SOFA","University of Pennsylvania|Jordana B. Cohen, MD, MSCE|Thomas C. Hanff, MD, MPH|Division of Cardiology, University of Arizona, Tucson, AZ, USA|Department of Medicine, Hospital Nacional Carlos Alberto Seguín Escobedo, Arequipa, Peru|Department of Nephrology, Hospital Nacional Edgardo Rebagliati Martins, Lima, Peru|Hypertension Unit, Department of Pathology, Hospital Español de Mendoza, National University of Cuyo, IMBECU-CONICET, Mendoza, Argentina|Division of Nephrology, Stanford University School of Medicine, Stanford, CA, USA|Division of Infectious Diseases, University of Ottawa and The Ottawa Hospital Research Institute, Ottawa, ON, Canada|Unidad de VIH, Hospital Civil de Guadalajara and Universidad de Guadalajara, Guadalajara, Mexico|Universidad Católica de Buenos Aires, Buenos Aires, Argentina|Departamento de Medicina Interna, Hospital Obrero number 3 Caja Nacional de Salud, Santa Cruz de la Sierra, Bolivia|Departamento de Medicina, Hospital Alberto Barton Thompson, Callao, Peru|Department of Clinical Sciences, Danderyd University Hospital, Karolinska Institutet, Stockholm, Sweden|Division of Cardiology, University of Miami Miller School of Medicine, Miami, FL, USA|Departamento de Emergencia, Hospital Nacional Edgardo Rebagliati Martins, Lima, Peru|Division of Cardiology, Department of Medicine, Hospital Español, Buenos Aires, Argentina|Division of Cardiovascular Medicine, University of Michigan Medical School, Ann Arbor, MI, USA|Jesse Chittams, MS|Division of Nephrology, Department of Medicine, Duke University School of Medicine, Durham, NC, USA|Charles R Vasquez, MD",All,"18 Years and older   (Adult, Older Adult)",N/A,152,Other,Interventional,2020-03-31,2020-08-20,2020-08-20,Randomized,Parallel Assignment,N/A,N/A,Single (Participant),Treatment,United States,2020-03,2020,False,142
NCT04453657,"Tele-Wellness Supported App for Family Child Care Home Providers and Families to Promote Health, Family Engagement, and School Readiness Amid COVID-19",Enrolling by invitation,No Results Available,"Stress, Psychological|Child Behavior|Social Competence",Device: FamilyChildCare (provisional name of app),"Change in Perceived Level of Stress as assessed by the Perceived Stress Scale|Change in Perceived Level of Informational Support as assessed by the PROMIS Informational Support Short Form|Change in Awareness of the Maryland Early Childhood Family Engagement Framework and Toolkit as assessed by a survey question|Change in Social, Emotional, and Behavior Functioning in Children as assessed by the Social Competence and Behavior Evaluation for Children|Change in Quality of the Parent-Child Care Relationship as assessed by the Supportive Parent-Caregiver Relationship Subscale",Johns Hopkins University,All,"3 Years to 99 Years   (Child, Adult, Older Adult)",N/A,270,Other,Interventional,2021-02-04,2021-09-01,2021-09-01,N/A,Single Group Assignment,N/A,N/A,None (Open Label),Supportive Care,United States,2021-02,2021,False,209
NCT04837755,CORONA in the Saarland,Recruiting,No Results Available,Covid19,Diagnostic Test: Cytokine measurements,Correlation of biomarkers with mortality and disease subgroups,Universität des Saarlandes,All,"up to 110 Years   (Child, Adult, Older Adult)",N/A,300,Other,Observational,2020-03-01,2025-12-31,2025-12-31,N/A,N/A,Case-Only,Prospective,N/A,N/A,Germany,2020-03,2020,False,2131
NCT04681261,"Occupational Balance, Fear and Agoraphobia",Completed,No Results Available,Covid19,Other: this study is not an intervention study,Occupational Balance Questionnaire,Hacettepe University,All,"19 Years to 65 Years   (Adult, Older Adult)",N/A,699,Other,Observational,2020-05-04,2020-06-04,2020-06-04,N/A,N/A,Cohort,Cross-Sectional,N/A,N/A,Turkey,2020-05,2020,False,31
NCT04559542,"Body Weight Regulation, Disordered Eating Behaviour, and Experiences of Sexual Harassment in Female Martial Art Athletes",Recruiting,No Results Available,Body Weight Changes|Eating Disorder Symptom|Sexual Harassment|Covid19|RED S,N/A,"Low energy availability for females questionnaire (LEAF-Q)|Eating disorder examination questionnaire (EDE-q)|Body Weight regulation strategies, selfreported|Body appreciation scale (BAS-2)|Exercise frequency, selfreported according to a designed questionnaire|Exercise duration, selfreported according to a designed questionnaire|Exercise motivation, selfreported according to a designed questionnaire|Exercise program variation, selfreported according to a designed questionnaire|Physical activity level, objectively measured|Four day weighed diet registration; energyintake|Four day weighed diet registration; nutrient intake|Experiences of sexual harassment|Effects from Covid-19 pandemic on exercise- and eating routines, designed questionnaire",Norwegian School of Sport Sciences|Ostfold University College|University of Oslo,Female,"16 Years to 40 Years   (Child, Adult)",N/A,200,Other,Observational,2020-09-10,2021-05-30,2021-12-31,N/A,N/A,Cohort,Cross-Sectional,N/A,N/A,Norway,2020-09,2020,False,477
NCT04802187,Implementation of SARS-CoV Testing Strategies in Community Health Centers,Recruiting,No Results Available,Covid19,Other: RADx CHCs testing intervention strategy|Other: Usual care control,Percentage increase in testing during the study compared to tests completed prior to study start,Massachusetts General Hospital|Dana-Farber Cancer Institute|Harvard School of Public Health|Massachusetts League of Community Health Centers,All,"Child, Adult, Older Adult",N/A,76300,Other,Interventional,2020-12-01,2022-08-31,2022-08-31,Non-Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Health Services Research,United States,2020-12,2020,False,638
NCT04334265,Efficacy and Safety of Anluohuaxian in the Treatment of Rehabilitation Patients With Corona Virus Disease 2019,Recruiting,No Results Available,COVID-19,Drug: Anluohuaxian,Changes in high-resolution computer tomography of the lung|Change in 6-minute walking distance|Changes in compound physiological index|Changes in the scores of the St. George's Hospital Respiratory Questionnaire|Changes in modified British Medical Research Council Dyspnea Scale (mMRC) scores|Changes in vital capacity of the lung,Peking University First Hospital,All,"18 Years to 80 Years   (Adult, Older Adult)",N/A,750,Other,Interventional,2020-04-01,2020-06-01,2020-12-01,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Treatment,China,2020-04,2020,False,244
NCT04842331,PREvent Viral Exposure aNd Transmission Study: a SARS-CoV-2 PEP Study (PREVENT),Recruiting,No Results Available,"Respiratory Viral Infections, in Particular SARS-CoV-2, for Prevention of Onward Transmission|Respiratory Tract Diseases","Drug: RESP301, a Nitric Oxide generating solution",Original Primary Outcome|Original Secondary Outcome,Thirty Respiratory Limited,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,600,Industry,Interventional,2021-04-01,2022-01-01,2022-01-01,Randomized,Parallel Assignment,N/A,N/A,None (Open Label),Prevention,United Kingdom,2021-04,2021,False,275
