study_id,condition_name,mesh_term
271,COVID-19,Not Specified
272,COVID-19,Not Specified
273,COVID-19,Not Specified
273,ACUTE RENAL FAILURE,Not Specified
274,LIVER FUNCTION TESTS ABNORMALITIES,Not Specified
275,COVID-19,Not Specified
276,COVID-19,Not Specified
277,COVID-19,Not Specified
278,COVID-19,Not Specified
278,PULMONARY EMBOLISM,Not Specified
279,COVID-19,Not Specified
280,COVID-19,Not Specified
281,COVID-19,Not Specified
281,CARDIOMYOPATHIES,Not Specified
282,COVID-19,Not Specified
283,COVID-19,Not Specified
283,PNEUMONIA,Not Specified
284,COVID-19,Not Specified
285,COVID-19,Not Specified
286,COVID-19,Not Specified
287,COVID-19,Not Specified
288,COVID-19,Not Specified
288,PREGNANCY COMPLICATIONS,Not Specified
289,COVID-19,Not Specified
290,COVID-19,Not Specified
291,COVID-19,Not Specified
292,COVID-19,Not Specified
293,COVID-19,Not Specified
294,COVID-19,Not Specified
294,INTENSIVE CARE PATIENTS,Not Specified
295,COVID-19,Not Specified
296,COVID-19,Not Specified
297,COVID-19,Not Specified
298,COVID-19,Not Specified
298,TEAR,Not Specified
299,COVID-19,Not Specified
299,COVID-19,Not Specified
300,COVID-19,Not Specified
301,COVID-19,Not Specified
301,PREGNANCY RELATED,Not Specified
302,COVID-19,Not Specified
303,COVID-19,Not Specified
304,PULMONARY EMBOLISM,Not Specified
305,COVID-19,Not Specified
306,COVID-19,Not Specified
306,CHRONIC KIDNEY DISEASES,Not Specified
307,COVID-19,Not Specified
307,HYPERTENSION,Not Specified
307,CARDIOVASCULAR DISEASES,Not Specified
308,COVID-19,Not Specified
309,COVID-19,Not Specified
309,COVID-19,Not Specified
310,COVID-19,Not Specified
311,COVID-19,Not Specified
312,COVID-19,Not Specified
313,COVID-19,Not Specified
314,COVID-19,Not Specified
314,MATERNAL-FETAL RELATIONS,Not Specified
315,COVID-19,Not Specified
316,COVID-19,Not Specified
316,STRESS,Not Specified
316,ANESTHESIA,Not Specified
317,COVID-19,Not Specified
318,COVID-19,Not Specified
318,SURGERY,Not Specified
319,COVID-19,Not Specified
320,COVID-19,Not Specified
321,COVID-19,Not Specified
322,COVID-19,Not Specified
323,COVID-19,Not Specified
324,COVID-19,Not Specified
325,COVID-19,Not Specified
325,COVID-19,Not Specified
326,COVID-19,Not Specified
326,VACCINE REFUSAL,Not Specified
327,COVID-19,Not Specified
